user_id,username,department,year,event_ids,event_tags,feedback_ratings,feedback_sentiments
1,stu2@gmail.com,Law,Senior,36;35;34;33;38;37;39,engineering;sports;fashion;web dev;entrepreneurship;startup;robotics;fresher;design;science;cricket;english;coding;welcome,,
2,stu1@gmail.com,Medicine,Graduate,36;35;34;33;38;37;39,engineering;sports;fashion;web dev;entrepreneurship;startup;robotics;fresher;design;science;cricket;english;coding;welcome,5;4,neutral;neutral
3,stu3@gmail.com,Science,Junior,36;35;34;33;38;37;39,engineering;sports;fashion;web dev;entrepreneurship;startup;robotics;fresher;design;science;cricket;english;coding;welcome,,
4,stu4@gmail.com,Engineering,Junior,36;35;34;33;38;37;39,engineering;sports;fashion;web dev;entrepreneurship;startup;robotics;fresher;design;science;cricket;english;coding;welcome,,
5,stu5@gmail.com,Medicine,Junior,36;35;34;33;38;37;39,engineering;sports;fashion;web dev;entrepreneurship;startup;robotics;fresher;design;science;cricket;english;coding;welcome,,
6,stu6@gmail.com,Arts & Humanities,Junior,36;35;34;33;38;37;39,engineering;sports;fashion;web dev;entrepreneurship;startup;robotics;fresher;design;science;cricket;english;coding;welcome,,
7,stu7@gmail.com,Engineering,Sophomore,36;35;34;33;38;37;39,engineering;sports;fashion;web dev;entrepreneurship;startup;robotics;fresher;design;science;cricket;english;coding;welcome,,
8,Events,,,36;35;34;33;37;39,engineering;sports;web dev;entrepreneurship;startup;robotics;fresher;science;cricket;english;coding;welcome,,
13,stu10@gmail.com,Education,Graduate,36;35;34;33;38;37;39,engineering;sports;fashion;web dev;entrepreneurship;startup;robotics;fresher;design;science;cricket;english;coding;welcome,,
14,stu11@gmail.com,Engineering,Senior,36;35;34;33;38;37;39,engineering;sports;fashion;web dev;entrepreneurship;startup;robotics;fresher;design;science;cricket;english;coding;welcome,,
15,stu20@gmail.com,Business,Sophomore,36;35;34;33;38;37;39,engineering;sports;fashion;web dev;entrepreneurship;startup;robotics;fresher;design;science;cricket;english;coding;welcome,,
